Model,Brand,Price_GBP,ANC_dB,Sound_Quality,Bass_Intensity,Durability,Earcup_Fit,Tier
Sony WH-1000XM6,Sony,350,33,9.2,8.5,8.5,Large Over-Ear,Flagship
Bose QC Ultra,Bose,450,32,8.8,8.0,8.5,Large Over-Ear,Flagship
Apple AirPods Max,Apple,499,31,9.0,7.5,9.8,Large Over-Ear,Flagship
Sony WH-1000XM5,Sony,279,31,8.9,8.2,8.0,Large Over-Ear,Flagship
JBL Live 780NC,JBL,142,29,7.8,8.5,8.0,Large Over-Ear,Premium
Bose QuietComfort,Bose,300,29,8.5,7.8,8.5,Large Over-Ear,Premium
JBL Live 770NC,JBL,89,29,7.5,8.0,7.5,Large Over-Ear,Premium
Sony ULT Wear,Sony,99,28,7.2,10.0,7.5,Large Over-Ear,Premium
Sennheiser Accentum Plus,Sennheiser,170,27,8.2,7.5,8.0,Large Over-Ear,Premium
Sennheiser Momentum 4,Sennheiser,250,27,9.4,8.2,8.5,Large Over-Ear,Premium
Sony WH-1000XM4,Sony,200,27,8.5,8.8,7.8,Large Over-Ear,Premium
Anker Soundcore Space One,Anker,69,24,7.0,7.5,7.0,Large Over-Ear,Everyday
QCY H3,QCY,46,22,6.0,7.0,6.5,Large Over-Ear,Everyday
Sony WH-CH720N,Sony,70,21,7.2,7.0,7.0,Large Over-Ear,Everyday
Anker Soundcore Q20i,Anker,32,20,6.5,8.0,6.5,Large Over-Ear,Everyday
JLab JBuds Lux ANC,JLab,60,18,6.8,7.5,7.0,Large Over-Ear,Basic
Ugreen HiTune Max5c,Ugreen,23,18,5.5,6.5,6.0,Large Over-Ear,Basic
